repetitions,plain,enforcement
1,0.20228269999999998,0.20279350000000002
2,0.2006211,0.2014446
3,0.20821679999999998,0.21348249999999996
4,0.21555490000000002,0.20553439999999995
5,0.2109655,0.2053042
10,0.21571900000000005,0.21627300000000002
30,0.22638799999999998,0.2278804
50,0.2522154,0.2569049
70,0.2574786,0.29111739999999997
80,0.27241669999999996,0.28806149999999997
100,0.3062393,0.3091429
300,0.45323640000000004,0.4748499
500,0.6065338999999998,0.6784137
700,0.7634107,0.8097191
900,0.9225254999999999,0.9918161999999999
