repetitions,plain,enforcement
1,0.2195344,0.20554429999999999
2,0.20118720000000004,0.19708699999999998
3,0.20148480000000002,0.20876959999999997
4,0.2084358,0.21163290000000004
5,0.1962904,0.21049740000000003
10,0.1992361,0.210447
30,0.2175879,0.2304764
50,0.22102309999999997,0.2223296
70,0.23177889999999998,0.24721409999999996
80,0.24558770000000002,0.2617099
100,0.24090289999999998,0.2763075
300,0.3401112,0.5897998999999999
500,0.43754040000000005,1.0173404000000001
700,0.5088623,1.4484590000000002
900,0.5836431,2.0578022000000002
