repetitions,plain,enforcement
1,0.19977079999999997,0.203142
2,0.1980056,0.1995552
3,0.20226490000000003,0.23924559999999997
4,0.2405961,0.27671660000000003
5,0.21392289999999997,0.2126244
10,0.2563253,0.2759293
30,0.24589429999999995,0.2441331
50,0.27103140000000003,0.27021409999999996
70,0.28239310000000006,0.30317740000000004
80,0.30741199999999996,0.3202356
100,0.3263147,0.3503824
300,0.7417662,0.7128047
500,1.1749295,1.2497686
700,1.9096206000000002,1.9009550000000002
900,2.6549732,2.7161247999999993
